type,file,line,target,text,suggested_section,suggested_key,reason
text_assignment,Helpers/extps1/PE_Helper/tools/HotInstall/Installer/MainForm.Designer.vb,411,Me.Label23.Text,3,MainForm.Designer,MainForm.Designer.Me_Label23_Text,numeric_default
text_assignment,Helpers/extps1/PE_Helper/tools/HotInstall/Installer/MainForm.Designer.vb,422,Me.Label22.Text,2,MainForm.Designer,MainForm.Designer.Me_Label22_Text,numeric_default
text_assignment,Helpers/extps1/PE_Helper/tools/HotInstall/Installer/MainForm.Designer.vb,432,Me.Label21.Text,1,MainForm.Designer,MainForm.Designer.Me_Label21_Text,numeric_default
text_assignment,Helpers/extps1/PE_Helper/tools/HotInstall/Installer/MainForm.Designer.vb,476,Me.Label24.Text,3,MainForm.Designer,MainForm.Designer.Me_Label24_Text,numeric_default
text_assignment,Helpers/extps1/PE_Helper/tools/HotInstall/Installer/MainForm.Designer.vb,486,Me.Label25.Text,2,MainForm.Designer,MainForm.Designer.Me_Label25_Text,numeric_default
text_assignment,Helpers/extps1/PE_Helper/tools/HotInstall/Installer/MainForm.Designer.vb,497,Me.Label26.Text,1,MainForm.Designer,MainForm.Designer.Me_Label26_Text,numeric_default
text_assignment,Helpers/extps1/PE_Helper/tools/HotInstall/Installer/MainForm.Designer.vb,540,Me.Label28.Text,3,MainForm.Designer,MainForm.Designer.Me_Label28_Text,numeric_default
text_assignment,Helpers/extps1/PE_Helper/tools/HotInstall/Installer/MainForm.Designer.vb,551,Me.Label29.Text,2,MainForm.Designer,MainForm.Designer.Me_Label29_Text,numeric_default
text_assignment,Helpers/extps1/PE_Helper/tools/HotInstall/Installer/MainForm.Designer.vb,562,Me.Label30.Text,1,MainForm.Designer,MainForm.Designer.Me_Label30_Text,numeric_default
text_assignment,Helpers/extps1/PE_Helper/tools/PEHelperMainMenu/WDSBootImageArchitectureSelector.Designer.vb,86,Me.ComboBox1.Text,amd64,WDSBootImageArchitectureSelector.Designer,WDSBootImageArchitectureSelector.Designer.Me_ComboBox1_Text,technical_token
items_add_range,Helpers/extps1/PE_Helper/tools/PEHelperMainMenu/WDSBootImageArchitectureSelector.Designer.vb,81,Me.ComboBox1.Items[0],x86,WDSBootImageArchitectureSelector.Designer,WDSBootImageArchitectureSelector.Designer.ComboBox1_Items_0,architecture_tokens_used_as_command_values
items_add_range,Helpers/extps1/PE_Helper/tools/PEHelperMainMenu/WDSBootImageArchitectureSelector.Designer.vb,81,Me.ComboBox1.Items[1],amd64,WDSBootImageArchitectureSelector.Designer,WDSBootImageArchitectureSelector.Designer.ComboBox1_Items_1,architecture_tokens_used_as_command_values
